Procurement Description,Supplier,count,95th percentile
24/7 security and access control management.,ApexGuard Facility Services,9,7.549999999999997
24/7 security and access control management.,GreenWave Facilities Management,10,7.549999999999997
24/7 security and access control management.,InfiniteGuard Building Care,15,7.549999999999997
24/7 security and access control management.,SecureSpace Management,10,7.549999999999997
24/7 security and access control management.,SilverTech Facilities Masters,8,7.549999999999997
Building automation and smart technology integration.,ApexGuard Facility Services,7,6
Building automation and smart technology integration.,BlueSky Property Care,7,6
Building automation and smart technology integration.,InfiniteGuard Building Care,13,6
Building automation and smart technology integration.,TrueView Management,8,6
Building maintenance and repairs.,InfiniteGuard Building Care,18,7
Building maintenance and repairs.,SafeHarbor Facilities Group,10,7
Building maintenance and repairs.,SecureSpace Management,11,7
Building maintenance and repairs.,UrbanEagle Maintenance,8,7
Building maintenance and repairs.,UrbanTech Management,8,7
Cleaning supplies and consumables procurement and management.,ApexGuard Facility Services,5,4.099999999999998
Cleaning supplies and consumables procurement and management.,InfiniteSpace Building Solutions,190,4.099999999999998
Comprehensive janitorial services and cleanliness maintenance.,BlueSky Property Care,12,8
Emergency response and disaster recovery planning.,ApexGuard Facility Services,8,7.549999999999997
Emergency response and disaster recovery planning.,GreenLine Building Experts,12,7.549999999999997
Emergency response and disaster recovery planning.,InfiniteGuard Building Care,12,7.549999999999997
Emergency response and disaster recovery planning.,SafeReach Property Solutions,8,7.549999999999997
Emergency response and disaster recovery planning.,SecureSpace Management,14,7.549999999999997
Energy-efficient lighting installation and maintenance.,ApexGuard Facility Services,28,14
Energy-efficient lighting installation and maintenance.,InfiniteGuard Building Care,29,14
Energy-efficient lighting installation and maintenance.,SecureSpace Management,20,14
Energy-efficient systems and consumption monitoring.,ApexGuard Facility Services,11,7.5
Energy-efficient systems and consumption monitoring.,GreenWave Facilities Management,8,7.5
Energy-efficient systems and consumption monitoring.,HorizonStone Facility Services,12,7.5
Energy-efficient systems and consumption monitoring.,SecureReach Property Care,9,7.5
Energy-efficient systems and consumption monitoring.,SecureSpace Management,10,7.5
Expert landscaping and groundskeeping solutions.,ApexGuard Facility Services,9,7
Expert landscaping and groundskeeping solutions.,Reliable Facility Services,8,7
Expert landscaping and groundskeeping solutions.,SecureSpace Management,8,7
Expert landscaping and groundskeeping solutions.,SilverTech Facilities Masters,8,7
Fire safety system installation and maintenance.,GoldenHarbor Management,9,7
Fire safety system installation and maintenance.,SecureSpace Management,10,7
Fire safety system installation and maintenance.,SkyHigh Property Management,8,7
Furniture and equipment maintenance and inventory tracking.,BlueSky Property Care,10,7
Furniture and equipment maintenance and inventory tracking.,GreenWave Facilities Management,9,7
Furniture and equipment maintenance and inventory tracking.,SecureSpace Management,10,7
Furniture and equipment maintenance and inventory tracking.,UrbanEagle Maintenance,8,7
HVAC system maintenance and climate control optimization.,GoldenHarbor Management,9,8
HVAC system maintenance and climate control optimization.,InfiniteGuard Building Care,17,8
Health and safety compliance management and training.,GoldenHarbor Management,8,7
Health and safety compliance management and training.,GreenWave Facilities Management,8,7
Health and safety compliance management and training.,SecureReach Property Care,9,7
Health and safety compliance management and training.,SilverReach Facility Services,8,7
Indoor air quality monitoring and improvement measures.,InfiniteGuard Building Care,18,7
Indoor air quality monitoring and improvement measures.,SecureSpace Management,9,7
Indoor air quality monitoring and improvement measures.,SilverTech Facilities Masters,8,7
Indoor air quality monitoring and improvement measures.,UrbanEagle Maintenance,9,7
Parking management and traffic control solutions.,GreenWave Facilities Management,8,7
Parking management and traffic control solutions.,SecureReach Property Care,8,7
Parking management and traffic control solutions.,TrustEdge Building Maintenance,8,7
Pest control services for a pest-free environment.,ApexGuard Facility Services,16,15.149999999999991
Pest control services for a pest-free environment.,GoldenGate Facility Masters,17,15.149999999999991
Pest control services for a pest-free environment.,InfiniteGuard Building Care,28,15.149999999999991
Pest control services for a pest-free environment.,Reliable Facility Services,16,15.149999999999991
Pest control services for a pest-free environment.,SkyHigh Property Management,16,15.149999999999991
Renovation and remodeling project management.,GoldenTech Maintenance,8,7.5
Renovation and remodeling project management.,GreenWave Facilities Management,8,7.5
Renovation and remodeling project management.,SecureSpace Management,9,7.5
Renovation and remodeling project management.,TrueView Management,9,7.5
Renovation and remodeling project management.,TrustEdge Building Maintenance,10,7.5
Space planning and utilization optimization strategies.,InfiniteGuard Building Care,9,7.5
Space planning and utilization optimization strategies.,SafeReach Property Solutions,9,7.5
Space planning and utilization optimization strategies.,SecureSpace Management,8,7.5
Space planning and utilization optimization strategies.,SwiftCrest Property Management,8,7.5
Space planning and utilization optimization strategies.,TrustMax Facilities Masters,9,7.5
Tenant communication and customer service assistance.,InfiniteGuard Building Care,10,8
Tenant communication and customer service assistance.,SilverTech Facilities Masters,9,8
Tenant communication and customer service assistance.,SwiftGuard Management,9,8
Waste management and recycling program implementation.,ApexGuard Facility Services,11,8.5
Waste management and recycling program implementation.,GoldenGate Facility Masters,11,8.5
Waste management and recycling program implementation.,GoldenHarbor Management,9,8.5
Waste management and recycling program implementation.,StarStone Facility Services,9,8.5
Waste management and recycling program implementation.,UrbanTech Management,9,8.5
